Country_Code,Country_Name,Population_Density,Year,People_Near_Rapid_Transit,Transit_Legend
CHE,Switzerland,5966.44925357775,1975,0.969551417994871,0.969551417994871
NOR,Norway,7321.26744464507,1975,0.764759010625019,0.764759010625019
SWE,Sweden,10266.5227668337,1975,0.538622412109206,0.538622412109206
DNK,Denmark,8873.50877612187,1975,0.375403560510851,0.375403560510851
FRA,France,12669.9923024714,1975,0.32771521321028,0.32771521321028
ESP,Spain,20925.6082307787,1975,0.281662846030674,0.281662846030674
DEU,Germany,9222.70949139846,1975,0.25671290889982,0.25671290889982
CZE,Czechia,11389.2470253922,1975,0.116136557416068,0.116136557416068
AUT,Austria,14196.3583422064,1975,0.0,0.0
VAT,Vatican City,3869.19130352303,1975,0.0,0.0
CHE,Switzerland,5797.18547743989,1980,0.99115182276043,0.99115182276043
NOR,Norway,6810.4484989421,1980,0.784998761122444,0.784998761122444
SWE,Sweden,9406.48582727503,1980,0.569658236263664,0.569658236263664
VAT,Vatican City,3901.12482954955,1980,0.499319376619905,0.499319376619905
DNK,Denmark,8435.61509415256,1980,0.464483821506681,0.464483821506681
FRA,France,12739.1997628325,1980,0.364646590635701,0.364646590635701
ESP,Spain,21865.2455439819,1980,0.313803481800365,0.313803481800365
DEU,Germany,8833.13162313076,1980,0.295838144818556,0.295838144818556
AUT,Austria,13305.8822042027,1980,0.278128059748068,0.278128059748068
CZE,Czechia,11547.5029791376,1980,0.256827794567607,0.256827794567607
CHE,Switzerland,6732.14573682606,1985,0.842675720038079,0.842675720038079
NOR,Norway,6621.68261999675,1985,0.772090853065685,0.772090853065685
SWE,Sweden,9109.70203043328,1985,0.588566330292773,0.588566330292773
VAT,Vatican City,3967.45771821562,1985,0.488319779193527,0.488319779193527
DNK,Denmark,8297.29773955132,1985,0.480334695280101,0.480334695280101
ESP,Spain,21853.6036822697,1985,0.386482612720637,0.386482612720637
FRA,France,13007.7923031608,1985,0.377746373307374,0.377746373307374
AUT,Austria,12841.8643100148,1985,0.35346830349368,0.35346830349368
DEU,Germany,8396.57995954328,1985,0.331689688006864,0.331689688006864
CZE,Czechia,11399.5516691017,1985,0.297235148631089,0.297235148631089
CHE,Switzerland,7952.71177156513,1990,0.74852651990808,0.74852651990808
NOR,Norway,6527.08916292643,1990,0.746725359185732,0.746725359185732
SWE,Sweden,8959.86645717596,1990,0.578512982384171,0.578512982384171
DNK,Denmark,8327.10586226591,1990,0.488502837410017,0.488502837410017
VAT,Vatican City,4051.45487355679,1990,0.476846461546352,0.476846461546352
ESP,Spain,21752.4104649179,1990,0.425213032621642,0.425213032621642
AUT,Austria,12496.353368158,1990,0.420920810356883,0.420920810356883
FRA,France,13375.5280239276,1990,0.374942485761901,0.374942485761901
DEU,Germany,8556.40672020908,1990,0.367644965535915,0.367644965535915
CZE,Czechia,11274.214854686,1990,0.356645308005833,0.356645308005833
CHE,Switzerland,8149.79807128631,1995,0.707944390944242,0.707944390944242
NOR,Norway,6518.52272998656,1995,0.700180203651064,0.700180203651064
SWE,Sweden,9409.43004946011,1995,0.551461541098368,0.551461541098368
AUT,Austria,12067.7787562763,1995,0.512430101410388,0.512430101410388
ESP,Spain,20950.0027101557,1995,0.482141532905665,0.482141532905665
VAT,Vatican City,4015.20102157975,1995,0.481197111105831,0.481197111105831
DNK,Denmark,8568.78172721017,1995,0.481067124794731,0.481067124794731
FRA,France,13386.6288001729,1995,0.399567201289552,0.399567201289552
CZE,Czechia,10648.575580834,1995,0.389194586771177,0.389194586771177
DEU,Germany,8334.21458033971,1995,0.383162446813401,0.383162446813401
CHE,Switzerland,8303.40199744387,2000,0.677424536687514,0.677424536687514
NOR,Norway,6584.08358891568,2000,0.669875616170136,0.669875616170136
AUT,Austria,11728.9409742349,2000,0.600926849873807,0.600926849873807
VAT,Vatican City,3916.39484031851,2000,0.537652109849777,0.537652109849777
SWE,Sweden,9716.37486230964,2000,0.525413730904128,0.525413730904128
ESP,Spain,20580.497003998,2000,0.521482017854653,0.521482017854653
DNK,Denmark,8965.54964490805,2000,0.488598092636795,0.488598092636795
CZE,Czechia,10097.074181847,2000,0.429079419576026,0.429079419576026
FRA,France,13513.5615235795,2000,0.408060501575795,0.408060501575795
DEU,Germany,7960.56035063851,2000,0.402828552801903,0.402828552801903
NOR,Norway,6736.55231766857,2005,0.647566639529127,0.647566639529127
CHE,Switzerland,8529.18230671662,2005,0.646991723670598,0.646991723670598
DNK,Denmark,9586.96008359594,2005,0.634537416971056,0.634537416971056
ESP,Spain,20991.881739457,2005,0.573830927979793,0.573830927979793
AUT,Austria,12105.5850071614,2005,0.57309882063842,0.57309882063842
VAT,Vatican City,3895.15452771241,2005,0.541936477296532,0.541936477296532
SWE,Sweden,9863.24967789024,2005,0.508149662045906,0.508149662045906
CZE,Czechia,10167.2797983929,2005,0.445014847427979,0.445014847427979
FRA,France,13904.5801779391,2005,0.419305856178501,0.419305856178501
DEU,Germany,7841.42607570806,2005,0.409311500063586,0.409311500063586
CHE,Switzerland,8782.12166226146,2010,0.653428991122786,0.653428991122786
ESP,Spain,21700.8003932522,2010,0.652566475702179,0.652566475702179
DNK,Denmark,10451.0135355801,2010,0.618832647502009,0.618832647502009
AUT,Austria,12428.6906960892,2010,0.606718807707912,0.606718807707912
NOR,Norway,7194.90452103695,2010,0.582747092588812,0.582747092588812
VAT,Vatican City,3900.30489842602,2010,0.544889235779202,0.544889235779202
SWE,Sweden,10548.7265134353,2010,0.471034937673331,0.471034937673331
CZE,Czechia,10352.7547316236,2010,0.446529746821086,0.446529746821086
FRA,France,14328.6398171858,2010,0.446076114076138,0.446076114076138
DEU,Germany,7846.48684020997,2010,0.410073334157419,0.410073334157419
ESP,Spain,22522.5792372106,2015,0.625840341210585,0.625840341210585
CHE,Switzerland,9080.60726546143,2015,0.606773854252207,0.606773854252207
DNK,Denmark,11609.0989398955,2015,0.605470791444928,0.605470791444928
AUT,Austria,12937.949345704,2015,0.545781287755416,0.545781287755416
VAT,Vatican City,3938.58340175576,2015,0.540242294050805,0.540242294050805
NOR,Norway,7586.07404412778,2015,0.495822691872671,0.495822691872671
FRA,France,14636.7689404856,2015,0.490431769180681,0.490431769180681
CZE,Czechia,10451.5220604262,2015,0.430446120003779,0.430446120003779
DEU,Germany,7918.55675230375,2015,0.383411177168009,0.383411177168009
SWE,Sweden,11375.9850100485,2015,0.374237196950318,0.374237196950318
DNK,Denmark,12846.389990486,2020,0.628359254055451,0.628359254055451
ESP,Spain,24016.5602532253,2020,0.627493936907174,0.627493936907174
CHE,Switzerland,9385.71924756026,2020,0.613686597926618,0.613686597926618
AUT,Austria,13870.5449394161,2020,0.560778785340244,0.560778785340244
VAT,Vatican City,4020.74640130249,2020,0.545461803245866,0.545461803245866
NOR,Norway,7827.40228691788,2020,0.519394083270495,0.519394083270495
FRA,France,14691.9569962665,2020,0.479439542014483,0.479439542014483
CZE,Czechia,10512.9375065605,2020,0.436322640204916,0.436322640204916
SWE,Sweden,12564.328626573,2020,0.392434584147296,0.392434584147296
DEU,Germany,8339.63668258674,2020,0.386669890014033,0.386669890014033
